"OBJECTID","DATATYPE","GENUSSPECI","DBH_IN","LU","CROWN_COMPACTNESS","HEIGHT_MAX","HEIGHT_MEAN","CROWN_AREA","HU_DENS","RELBORDER_TREE","NDVI_MAX","NDVI_MEAN","NDVI_STD","BLDG_AGE","IS_CLEANED_CROWN_AREA","IS_CLEANED_CROWN_COMPACTNESS","IS_CLEANED_DBH_IN","IS_CLEANED_HEIGHT_MAX","IS_CLEANED_HEIGHT_MEAN","IS_CLEANED_NDVI_MEAN","IS_CLEANED_NDVI_MAX"
237108,"Point","Quercus alba",12,6,1.48322147651006,46.5,25.5645883035339,931.246275011,6.20887,0.5,0.5662650466,0.4676357377,0.07933971095,40,0,0,0,0,0,0,0
237212,"Point","Quercus macrocarpa",12,6,2.38436219237458,54.9262084960937,33.7907708678582,1856.24257502,6.20887,0.581081081081081,0.57746475935,0.34295445956,0.13745346445,40,0,0,0,0,0,0,0
237247,"Point","Quercus palustris",13,6,1.95103183594498,35.889404296875,19.960847420528,906.246375011,6.20887,0.386363636363636,0.54802262783,0.46166044063,0.03930804338,40,0,0,0,0,0,0,0
237851,"Point","Tilia cordata",11,6,1.45875712828835,26.3825073242187,12.5573708670479,1224.99510001,6.20887,0,0.75163400173,0.53691810694,0.11797325487,40,0,0,0,0,0,0,0
235911,"Point","Malus spp.",30,6,1.29411764705882,27.6693725585937,13.9251021697741,743.747025009,6.20887,0,0.58389264345,0.49083625687,0.04448240357,40,0,0,0,0,0,0,0
236227,"Point","Picea pungens",8,6,1.85749368751402,7.10687255859375,2.17964680989583,112.499550001,6.20887,0.153846153846153,0.45991560817,0.4282804685,0.02218309058,40,0,0,0,0,0,0,0
236230,"Point","Picea pungens",10,6,1.53846153846153,19.4468383789062,9.40059133676382,324.998700004,6.20887,0,0.5106382966,0.44802101734,0.0258435515,40,0,0,0,0,0,0,0
236797,"Point","Pyrus calleryana",3,6,1.39999999999999,16.8268432617187,7.62406311035156,249.999000003,6.20887,0.176470588235294,0.51381218433,0.42942002416,0.04115796783,40,0,0,0,0,0,0,0
237859,"Point","Tilia cordata",2,6,1.74803957358079,34.234375,12.968832071545,1287.49485002,6.20887,0.458333333333333,0.58469945192,0.40516551039,0.06563568634,40,0,0,0,0,0,0,0
237860,"Point","Tilia cordata",2,6,1,25.8281860351562,22.7601114908854,37.49985000045,6.20887,0.9,0.48042705655,0.45366051048,0.01661596278,40,0,0,0,0,0,0,0
237862,"Point","Tilia cordata",2,6,1.51351351351351,26.704345703125,10.6069051381703,924.996300011,6.20887,0.528571428571428,0.6811594367,0.54314019832,0.03881318136,40,0,0,0,0,0,0,0
237863,"Point","Tilia cordata",2,6,1.51351351351351,26.704345703125,10.6069051381703,924.996300011,6.20887,0.528571428571428,0.6811594367,0.54314019832,0.03881318136,40,0,0,0,0,0,0,0
237864,"Point","Tilia cordata",2,6,1.40350877192982,24.8856201171875,12.3282813356633,356.248575004,6.20887,0.6,0.58685445786,0.49559364485,0.06605324651,40,0,0,0,0,0,0,0
237865,"Point","Tilia cordata",2,6,1.48936170212765,11.9506225585937,4.64944522938829,293.748825004,6.20887,0.2,0.65363126993,0.44624233781,0.0646573559,40,0,0,0,0,0,0,0
237876,"Point","Tilia cordata",21,6,1.34865687152967,38.8394165039062,22.03612286603,843.74662501,6.20887,0.568965517241379,0.53367877007,0.4299781311,0.04779217171,40,0,0,0,0,0,0,0
238235,"Point","Ulmus hybrid",2,6,1.16666666666666,13.0556030273437,7.21430587768554,299.998800004,6.20887,0,0.56129032373,0.46882560011,0.07064122176,40,0,0,0,0,0,0,0
